,ID,latitude,longitude,location,timestamp,magnitude,depth
5261,knmi1982jxzf,51.035,6.021667,Gangelt (Duitsland),1982-05-22 06:41:08,3.0,12.3
5262,knmi1982jxqk,51.62634,7.685,Bergkamen (Duitsland),1982-05-22 02:14:12,2.8,1.0
5263,knmi1982ivgm,50.10067,5.076667,Rochefort (België),1982-05-06 13:25:06,3.1,10.1
5264,knmi1982iuck,51.876,7.528333,Senden (Duitsland),1982-05-05 22:13:09,2.3,1.0
5265,knmi1982isnc,51.88433,7.495,Senden (Duitsland),1982-05-05 01:21:33,2.1,1.0
5266,knmi1982iljm,51.65333,7.876667,Hamm (Duitsland),1982-05-01 03:34:19,2.5,1.0
5267,knmi1982hlqa,51.46433,7.116667,Bochum (Duitsland),1982-04-17 01:20:47,2.0,1.0
5268,knmi1982gjcw,50.07467,8.001667,Schlangenbad (Duitsland),1982-04-01 10:53:43,1.7,14.5
5269,knmi1982fkrt,51.6435,7.611667,Bergkamen (Duitsland),1982-03-19 01:00:15,2.6,1.0
5270,knmi1982eqkd,50.519,7.111667,Bad Neuenahr-Ahrweiler (Duitsland),1982-03-07 22:26:44,1.9,5.9
5271,knmi1982eftb,51.03333,5.861667,Nieuwstadt,1982-03-02 02:27:27,3.5,6.6
5272,knmi1982awzw,51.539,7.085,Gelsenkirchen (Duitsland),1982-01-13 15:03:45,2.2,1.0
5273,knmi1981yvtr,50.852,5.921667,Voerendaal,1981-12-20 11:38:52,2.7,22.7
5274,knmi1981ynez,50.17883,7.93,Heidenrod (Duitsland),1981-12-15 19:08:57,2.0,2.9
5275,knmi1981yieq,50.08783,7.621666,Damscheid (Duitsland),1981-12-13 01:17:25,2.2,2.4
5276,knmi1981xogb,51.614,7.546667,Lünen (Duitsland),1981-12-02 03:17:03,2.2,1.7
5277,knmi1981xavh,51.65983,7.161667,Marl (Duitsland),1981-11-24 19:04:54,3.4,1.0
5278,knmi1981vsgz,51.4695,7.148334,Bochum (Duitsland),1981-11-05 21:13:44,2.5,1.9
5279,knmi1981tazq,51.6715,7.245,Oer-Erkenschwick (Duitsland),1981-09-29 00:08:24,3.4,1.0
5280,knmi1981ptye,51.48,7.13,Bochum (Duitsland),1981-08-13 10:49:53,2.1,1.0
5281,knmi1981pjcq,50.22766,5.11,Ciney (België),1981-08-07 12:36:02,2.8,3.2
5282,knmi1981olhm,51.4465,7.11,Essen (Duitsland),1981-07-25 11:46:53,2.2,1.0
5283,knmi1981nzos,51.49633,7.108333,Gelsenkirchen (Duitsland),1981-07-19 01:48:13,2.3,1.0
5284,knmi1981nynd,51.48,7.1,Essen (Duitsland),1981-07-18 11:52:24,2.6,1.0
5285,knmi1981nwas,51.505,7.081666,Gelsenkirchen (Duitsland),1981-07-17 03:19:03,2.3,1.0
5286,knmi1981nvjo,51.61617,7.73,Bönen (Duitsland),1981-07-16 18:39:22,2.3,1.0
5287,knmi1981npgj,52.25083,7.803333,Tecklenburg (Duitsland),1981-07-13 10:12:45,4.1,0.5
5288,knmi1981lgyk,50.35283,7.085,Baar (Duitsland),1981-06-10 10:02:00,2.5,3.4
5289,knmi1981kxvq,50.346,7.083333,Virneburg (Duitsland),1981-06-05 10:24:48,2.4,2.0
5290,knmi1981kmcb,51.604,7.238333,Recklinghausen (Duitsland),1981-05-30 00:01:15,2.3,1.0
5291,knmi1981ihrc,51.695,7.641667,Werne (Duitsland),1981-04-29 02:52:46,2.3,1.0
5292,knmi1981fxfh,51.65166,7.843333,Hamm (Duitsland),1981-03-25 21:28:48,2.3,1.0
5293,knmi1981cywk,51.53367,7.15,Herne (Duitsland),1981-02-12 02:39:28,2.2,0.7
5294,knmi1981aauj,50.15783,7.72,Sankt Goarshausen (Duitsland),1981-01-01 11:16:50,2.0,2.8
5295,knmi1980zqwr,50.18283,7.726666,Nochern (Duitsland),1980-12-31 01:01:59,2.8,3.9
5296,knmi1980yrxi,51.07733,6.566667,Grevenbroich (Duitsland),1980-12-17 08:57:19,1.6,1.0
5297,knmi1980xwfr,51.45984,7.113333,Bochum (Duitsland),1980-12-05 12:11:26,2.4,1.0
5298,knmi1980xgys,51.74617,7.155,Haltern am See (Duitsland),1980-11-27 03:37:11,2.4,1.0
5299,knmi1980xegf,51.46883,7.2,Bochum (Duitsland),1980-11-25 16:00:16,2.2,1.0
5300,knmi1980wvcf,51.46433,7.206666,Bochum (Duitsland),1980-11-20 15:45:40,2.3,1.0
5301,knmi1980wgny,51.5465,7.083333,Gelsenkirchen (Duitsland),1980-11-12 16:39:17,2.4,1.0
5302,knmi1980trgt,52.33083,7.87,Westerkappeln (Duitsland),1980-10-06 21:54:31,2.8,1.0
5303,knmi1980qqtq,51.466,7.2,Bochum (Duitsland),1980-08-24 22:39:46,2.2,1.0
5304,knmi1980ojnm,51.63233,7.08,Marl (Duitsland),1980-07-23 12:32:07,2.4,0.1
5305,knmi1980lzjx,50.03333,5.078333,Wellin (België),1980-06-19 12:17:19,2.9,3.2
5306,knmi1980ltqj,49.34933,5.911667,Sancy (Frankrijk),1980-06-16 08:44:52,2.6,3.1
5307,knmi1980lbgr,51.174,5.978333,Roermond,1980-06-06 07:24:10,2.0,8.1
